성별,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023
성별,15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%)
계,36192.4,22151,21173,978,14041.4,61.2,4.4,58.5,36608.1,22511.3,21613.7,897.6,14096.8,61.5,4,59,37014.2,22982.3,22231.5,750.8,14031.9,62.1,3.3,60.1,37410.4,23042.8,22221.6,821.2,14367.6,61.6,3.6,59.4,37771.7,23543.5,22681.9,861.7,14228.2,62.3,3.7,60,38119.5,23718.3,22831,887.3,14401.2,62.2,3.7,59.9,38631.7,24023.8,23188.1,835.7,14607.9,62.2,3.5,60,39179.8,24351.4,23561.1,790.2,14828.5,62.2,3.2,60.1,39775.4,24550.6,23774.8,775.8,15224.8,61.7,3.2,59.8,40301.3,24581.9,23687.6,894.2,15719.4,61,3.6,58.8,40824.5,24956.4,24032.8,923.6,15868.1,61.1,3.7,58.9,41387.1,25389,24526.5,862.5,15998.1,61.3,3.4,59.3,41856.7,25780.9,24954.8,826.1,16075.9,61.6,3.2,59.6,42303.8,26107.6,25299.4,808.2,16196.2,61.7,3.1,59.8,42795.1,26835.7,25897.2,938.5,15959.4,62.7,3.5,60.5,43239.3,27153.4,26177.7,975.7,16085.9,62.8,3.6,60.5,43605.7,27418.3,26409.1,1009.2,16187.4,62.9,3.7,60.6,43930.5,27747.7,26724.8,1022.9,16182.8,63.2,3.7,60.8,44182.1,27895.3,26822.1,1073.3,16286.8,63.1,3.8,60.7,44503.7,28186.2,27122.7,1063.4,16317.5,63.3,3.8,60.9,44785,28012.3,26904.3,1107.9,16772.8,62.5,4,60.1,45080,28310,27272.8,1037.2,16770,62.8,3.7,60.5,45260.1,28921.6,28089.1,832.5,16338.5,63.9,2.9,62.1,45407.1,29203,28416.3,786.7,16204.1,64.3,2.7,62.6
남자,17525.5,13047.1,12401.1,646,4478.4,74.4,5,70.8,17738.7,13197.9,12609.2,588.7,4540.8,74.4,4.5,71.1,17952.8,13478.2,12988.3,489.8,4474.6,75.1,3.6,72.3,18166.1,13600.8,13090.3,510.5,4565.3,74.9,3.8,72.1,18360.8,13810.9,13275.7,535.3,4549.9,75.2,3.9,72.3,18539.3,13875.9,13322.9,553.1,4663.4,74.8,4,71.9,18825.5,14021.3,13480.9,540.4,4804.3,74.5,3.9,71.6,19127.5,14233.6,13711.7,521.9,4893.8,74.4,3.7,71.7,19442.2,14344.1,13834.6,509.4,5098.1,73.8,3.6,71.2,19708,14429.2,13840.3,589,5278.8,73.2,4.1,70.2,19978.3,14621.6,14041.2,580.4,5356.7,73.2,4,70.3,20268.5,14869.3,14333.3,536,5399.2,73.4,3.6,70.7,20500.6,15077.2,14568.2,508.9,5423.4,73.5,3.4,71.1,20728.3,15245.2,14745,500.2,5483.1,73.5,3.3,71.1,20988.9,15607.2,15057.3,549.9,5381.8,74.4,3.5,71.7,21221.6,15727.9,15156,571.9,5493.8,74.1,3.6,71.4,21400.8,15835.6,15241.2,594.4,5565.2,74,3.8,71.2,21573.1,15975.2,15368.4,606.8,5597.9,74.1,3.8,71.2,21698.6,16002.1,15372,630.1,5696.5,73.7,3.9,70.8,21886.2,16089.5,15462.8,626.7,5796.7,73.5,3.9,70.7,22035.4,16005.3,15381.2,624.1,6030.1,72.6,3.9,69.8,22198.3,16123.9,15547.6,576.3,6074.4,72.6,3.6,70,22272.5,16375.7,15928.3,447.4,5896.8,73.5,2.7,71.5,22361.9,16385.9,15952.1,433.8,5976,73.3,2.6,71.3
여자,18666.8,9103.9,8771.9,332,9562.9,48.8,3.6,47,18869.5,9313.4,9004.5,308.9,9556.1,49.4,3.3,47.7,19061.5,9504.1,9243.2,261,9557.3,49.9,2.7,48.5,19244.3,9442,9131.3,310.7,9802.3,49.1,3.3,47.4,19410.9,9732.6,9406.2,326.4,9678.3,50.1,3.4,48.5,19580.2,9842.4,9508.2,334.2,9737.8,50.3,3.4,48.6,19806.2,10002.5,9707.2,295.3,9803.7,50.5,3,49,20052.3,10117.7,9849.4,268.3,9934.6,50.5,2.7,49.1,20333.2,10206.5,9940.2,266.4,10126.7,50.2,2.6,48.9,20593.3,10152.6,9847.4,305.3,10440.6,49.3,3,47.8,20846.2,10334.9,9991.6,343.3,10511.4,49.6,3.3,47.9,21118.5,10519.7,10193.1,326.5,10598.9,49.8,3.1,48.3,21356.2,10703.7,10386.5,317.2,10652.5,50.1,3,48.6,21575.5,10862.4,10554.4,308,10713.1,50.3,2.8,48.9,21806.2,11228.5,10839.9,388.6,10577.6,51.5,3.5,49.7,22017.7,11425.6,11021.7,403.9,10592.1,51.9,3.5,50.1,22205,11582.8,11167.9,414.8,10622.2,52.2,3.6,50.3,22357.3,11772.5,11356.4,416,10584.9,52.7,3.5,50.8,22483.5,11893.2,11450.1,443.1,10590.3,52.9,3.7,50.9,22617.5,12096.7,11659.9,436.8,10520.8,53.5,3.6,51.6,22749.6,12007,11523.1,483.9,10742.6,52.8,4,50.7,22881.7,12186,11725.2,460.9,10695.7,53.3,3.8,51.2,22987.7,12545.9,12160.8,385.1,10441.8,54.6,3.1,52.9,23045.2,12817.1,12464.2,352.9,10228.1,55.6,2.8,54.1
농가,3517.3,2580.3,2547.2,33.1,937,73.4,1.3,72.4,3510.1,2567.1,2534.5,32.6,943,73.1,1.3,72.2,3384.6,2508.6,2482.4,26.2,875.9,74.1,1,73.3,3163.6,2360.4,2336.6,23.8,803.2,74.6,1,73.9,3036.4,2278.6,2253.4,25.2,757.8,75,1.1,74.2,2921.5,2176.2,2152.5,23.7,745.3,74.5,1.1,73.7,2864.9,2129,2101.1,27.9,735.8,74.3,1.3,73.3,2740.4,2042.7,2025.6,17.1,697.7,74.5,0.8,73.9,2692.2,1993.6,1979.2,14.4,698.6,74.1,0.7,73.5,2729.1,1999.8,1982.8,17,729.3,73.3,0.9,72.7,2758.5,1985.2,1960.6,24.6,773.4,72,1.2,71.1,2761.5,1999.1,1975,24.1,762.3,72.4,1.2,71.5,2754.2,2025,2002.3,22.7,729.3,73.5,1.1,72.7,2725.1,2001.5,1979.8,21.7,723.6,73.4,1.1,72.7,2656,1968.3,1944.8,23.6,687.6,74.1,1.2,73.2,2413.7,1794.7,1767.1,27.6,619,74.4,1.5,73.2,2117.1,1596.9,1579.2,17.7,520.2,75.4,1.1,74.6,2122.6,1592.8,1571.8,21,529.8,75,1.3,74.1,2184.1,1665.3,1645.5,19.9,518.8,76.2,1.2,75.3,2226.1,1717.2,1697.5,19.8,508.9,77.1,1.2,76.3,2292,1757.5,1732.9,24.6,534.5,76.7,1.4,75.6,2325.5,1794.7,1772,22.6,530.8,77.2,1.3,76.2,2274.7,1793.8,1779.3,14.5,481,78.9,0.8,78.2,2345.7,1848.5,1835.1,13.4,497.2,78.8,0.7,78.2
농가남자,1720.5,1362.3,1340.5,21.8,358.2,79.2,1.6,77.9,1729.7,1368.6,1345.5,23,361.1,79.1,1.7,77.8,1660.2,1329.4,1311.1,18.3,330.9,80.1,1.4,79,1560.8,1266.8,1251.2,15.5,294,81.2,1.2,80.2,1488.2,1215,1199.8,15.2,273.2,81.6,1.3,80.6,1432.9,1171.7,1155.8,15.9,261.2,81.8,1.4,80.7,1420.6,1156.4,1137.8,18.6,264.2,81.4,1.6,80.1,1355.8,1108.5,1096.2,12.3,247.2,81.8,1.1,80.9,1333.7,1085.8,1076.7,9.1,247.9,81.4,0.8,80.7,1366,1103.5,1090.7,12.8,262.5,80.8,1.2,79.8,1376.8,1110.3,1094.6,15.7,266.5,80.6,1.4,79.5,1386,1113.4,1096.8,16.6,272.5,80.3,1.5,79.1,1386.5,1130.9,1117,13.9,255.7,81.6,1.2,80.6,1366.9,1120.9,1108.5,12.4,246.1,82,1.1,81.1,1341.5,1109.1,1093.8,15.3,232.4,82.7,1.4,81.5,1239.6,1021.3,1003.4,18,218.3,82.4,1.8,80.9,1091.2,908.2,896.6,11.7,183,83.2,1.3,82.2,1108.9,914.4,901,13.3,194.5,82.5,1.5,81.3,1134.8,945.2,932.1,13.1,189.5,83.3,1.4,82.1,1161.9,978.2,964.9,13.3,183.8,84.2,1.4,83,1186.8,1001.9,986.3,15.6,184.9,84.4,1.6,83.1,1210.5,1029.2,1016.5,12.7,181.3,85,1.2,84,1181.4,1020.1,1013.8,6.3,161.3,86.3,0.6,85.8,1220.3,1052.6,1047.3,5.2,167.8,86.3,0.5,85.8
농가여자,1796.8,1218,1206.7,11.3,578.8,67.8,0.9,67.2,1780.5,1198.6,1189,9.6,581.9,67.3,0.8,66.8,1724.3,1179.3,1171.3,8,545.1,68.4,0.7,67.9,1602.8,1093.6,1085.3,8.3,509.2,68.2,0.8,67.7,1548.2,1063.6,1053.6,10.1,484.6,68.7,0.9,68.1,1488.6,1004.5,996.7,7.9,484.1,67.5,0.8,67,1444.2,972.6,963.3,9.3,471.6,67.3,1,66.7,1384.6,934.2,929.4,4.8,450.4,67.5,0.5,67.1,1358.5,907.8,902.5,5.3,450.6,66.8,0.6,66.4,1363.1,896.3,892.1,4.2,466.8,65.8,0.5,65.4,1381.8,874.9,866,8.9,506.9,63.3,1,62.7,1375.5,885.7,878.1,7.5,489.8,64.4,0.8,63.8,1367.7,894.1,885.3,8.8,473.6,65.4,1,64.7,1358.1,880.6,871.3,9.3,477.5,64.8,1.1,64.2,1314.5,859.3,851,8.3,455.2,65.4,1,64.7,1174,773.3,763.8,9.6,400.7,65.9,1.2,65.1,1025.9,688.7,682.6,6.1,337.3,67.1,0.9,66.5,1013.8,678.4,670.7,7.7,335.3,66.9,1.1,66.2,1049.4,720.1,713.4,6.7,329.3,68.6,0.9,68,1064.2,739,732.6,6.5,325.2,69.4,0.9,68.8,1105.2,755.5,746.6,8.9,349.6,68.4,1.2,67.6,1115,765.5,755.6,9.9,349.5,68.7,1.3,67.8,1093.4,773.7,765.5,8.2,319.7,70.8,1.1,70,1125.4,795.9,787.7,8.2,329.4,70.7,1,70
비농가,32675.1,19570.7,18625.8,944.9,13104.4,59.9,4.8,57,33098,19944.2,19079.2,865,13153.8,60.3,4.3,57.6,33629.7,20473.7,19749.1,724.6,13156,60.9,3.5,58.7,34246.8,20682.5,19885,797.4,13564.4,60.4,3.9,58.1,34735.3,21264.9,20428.5,836.4,13470.4,61.2,3.9,58.8,35198,21542.1,20678.5,863.5,13655.9,61.2,4,58.7,35766.8,21894.8,21087,807.8,13872.1,61.2,3.7,59,36439.5,22308.6,21535.5,773.1,14130.8,61.2,3.5,59.1,37083.2,22557,21795.6,761.4,14526.2,60.8,3.4,58.8,37572.2,22582,21704.8,877.2,14990.1,60.1,3.9,57.8,38066,22971.3,22072.2,899.1,15094.7,60.3,3.9,58,38625.6,23389.9,22551.5,838.4,15235.7,60.6,3.6,58.4,39102.5,23755.9,22952.5,803.4,15346.6,60.8,3.4,58.7,39578.7,24106.1,23319.6,786.5,15472.6,60.9,3.3,58.9,40139.1,24867.3,23952.5,914.9,15271.8,62,3.7,59.7,40825.6,25358.8,24410.6,948.2,15466.9,62.1,3.7,59.8,41488.6,25821.5,24830,991.5,15667.2,62.2,3.8,59.8,41807.8,26154.9,25153.1,1001.8,15652.9,62.6,3.8,60.2,41998,26230,25176.6,1053.4,15768,62.5,4,59.9,42277.5,26468.9,25425.2,1043.7,15808.6,62.6,3.9,60.1,42493,26254.8,25171.4,1083.4,16238.2,61.8,4.1,59.2,42754.5,26515.3,25500.7,1014.5,16239.2,62,3.8,59.6,42985.4,27127.8,26309.8,818,15857.5,63.1,3,61.2,43061.4,27354.5,26581.2,773.3,15706.9,63.5,2.8,61.7
비농가남자,15805,11684.8,11060.6,624.2,4120.2,73.9,5.3,70,16009,11829.3,11263.7,565.7,4179.7,73.9,4.8,70.4,16292.5,12148.8,11677.2,471.6,4143.7,74.6,3.9,71.7,16605.3,12334.1,11839.1,495,4271.3,74.3,4,71.3,16872.6,12595.9,12075.9,520.1,4276.7,74.7,4.1,71.6,17106.4,12704.2,12167,537.2,4402.2,74.3,4.2,71.1,17404.9,12864.8,12343.1,521.8,4540.1,73.9,4.1,70.9,17771.7,13125.1,12615.5,509.6,4646.6,73.9,3.9,71,18108.4,13258.3,12757.9,500.3,4850.2,73.2,3.8,70.5,18342,13325.7,12749.5,576.2,5016.3,72.7,4.3,69.5,18601.6,13511.3,12946.6,564.7,5090.2,72.6,4.2,69.6,18882.6,13755.9,13236.5,519.4,5126.7,72.8,3.8,70.1,19114,13946.3,13451.3,495,5167.7,73,3.5,70.4,19361.3,14124.3,13636.5,487.7,5237,73,3.5,70.4,19647.5,14498.1,13963.5,534.6,5149.4,73.8,3.7,71.1,19982,14706.5,14152.6,553.9,5275.5,73.6,3.8,70.8,20309.6,14927.4,14344.6,582.7,5382.3,73.5,3.9,70.6,20464.2,15060.9,14467.4,593.5,5403.4,73.6,3.9,70.7,20563.8,15056.9,14439.9,617,5507,73.2,4.1,70.2,20724.3,15111.3,14497.9,613.4,5612.9,72.9,4.1,70,20848.6,15003.4,14395,608.4,5845.2,72,4.1,69,20987.8,15094.8,14531.1,563.6,5893,71.9,3.7,69.2,21091.1,15355.6,14914.5,441.2,5735.5,72.8,2.9,70.7,21141.6,15333.4,14904.8,428.6,5808.2,72.5,2.8,70.5
